parameter,Condition,ctx_id,Median,Lower_95,Upper_95
beta_slope,TCS,1,0.241005855,0.1886122805,0.29354214925
beta_slope,TCS,2,0.103225505,0.039570403925000004,0.16355897575
beta_slope,TCS,3,0.24190603,0.195601733,0.28861863449999997
beta_slope,Vehicle,1,0.273548405,0.22129700050000004,0.3259965885000001
beta_slope,Vehicle,2,0.196259465,0.1479209855,0.2478531185000001
beta_slope,Vehicle,3,0.281364585,0.232965332,0.32895693225
kappa,TCS,1,-7.7426144,-8.680975040000002,-6.4301384299999995
kappa,TCS,2,-6.6657269,-7.588958144999999,-5.3487359775
kappa,TCS,3,-3.72502515,-4.6564705075,-2.4154875124999995
kappa,Vehicle,1,-13.1000945,-14.027912325,-11.781249025
kappa,Vehicle,2,-5.5392661,-6.476498907500001,-4.2455799075
kappa,Vehicle,3,-3.2179665,-4.1435946675,-1.9157243999999995
phi,TCS,1,-4.881676049999999,-6.0087352925,-3.1565542024999997
phi,TCS,2,-4.4630895,-5.6115524,-2.7333673575
phi,TCS,3,-2.39692765,-3.45771097,-0.6467348694999996
phi,Vehicle,1,-6.092890150000001,-7.1798215050000005,-4.34845488
phi,Vehicle,2,-4.8713709000000005,-5.969607767499999,-3.18112257
phi,Vehicle,3,-2.91627405,-4.0279608499999995,-1.1586148724999987
side,TCS,1,1.48811305,1.4617368525,1.5154106325
side,TCS,2,1.38219205,1.3570480225000001,1.4078608350000001
side,TCS,3,0.671903935,0.6539564325,0.6900527265
side,Vehicle,1,5.4268873499999994,5.399027855,5.45397582
side,Vehicle,2,0.9387536949999999,0.9170489065,0.95939404725
side,Vehicle,3,0.51926557,0.4980167935,0.5408865145
